NOC,Gold,Silver,Bronze,Total,source_file
SWE,1,4,3,8,London 2012 Olympics Nations Medals.csv
COL,1,3,5,9,London 2012 Olympics Nations Medals.csv
MEX,1,3,4,8,London 2012 Olympics Nations Medals.csv
GEO,1,2,3,6,London 2012 Olympics Nations Medals.csv
IRL,1,1,4,6,London 2012 Olympics Nations Medals.csv
ARG,1,1,2,4,London 2012 Olympics Nations Medals.csv
SLO,1,1,2,4,London 2012 Olympics Nations Medals.csv
TTO,1,1,2,4,London 2012 Olympics Nations Medals.csv
SRB,1,1,2,4,London 2012 Olympics Nations Medals.csv
TUR,1,1,1,3,London 2012 Olympics Nations Medals.csv
DOM,1,1,0,2,London 2012 Olympics Nations Medals.csv
TPE,1,0,1,2,London 2012 Olympics Nations Medals.csv
LAT,1,0,1,2,London 2012 Olympics Nations Medals.csv
BAH,1,0,0,1,London 2012 Olympics Nations Medals.csv
ALG,1,0,0,1,London 2012 Olympics Nations Medals.csv
GRN,1,0,0,1,London 2012 Olympics Nations Medals.csv
VEN,1,0,0,1,London 2012 Olympics Nations Medals.csv
BRN,1,0,0,1,London 2012 Olympics Nations Medals.csv
UGA,1,0,0,1,London 2012 Olympics Nations Medals.csv
EGY,0,3,1,4,London 2012 Olympics Nations Medals.csv
IND,0,2,4,6,London 2012 Olympics Nations Medals.csv
MGL,0,2,3,5,London 2012 Olympics Nations Medals.csv
THA,0,2,2,4,London 2012 Olympics Nations Medals.csv
INA,0,2,1,3,London 2012 Olympics Nations Medals.csv
BUL,0,2,1,3,London 2012 Olympics Nations Medals.csv
FIN,0,2,1,3,London 2012 Olympics Nations Medals.csv
SVK,0,1,3,4,London 2012 Olympics Nations Medals.csv
BEL,0,1,2,3,London 2012 Olympics Nations Medals.csv
MAS,0,1,1,2,London 2012 Olympics Nations Medals.csv
QAT,0,1,1,2,London 2012 Olympics Nations Medals.csv
ARM,0,1,1,2,London 2012 Olympics Nations Medals.csv
EST,0,1,1,2,London 2012 Olympics Nations Medals.csv
PUR,0,1,1,2,London 2012 Olympics Nations Medals.csv
GUA,0,1,0,1,London 2012 Olympics Nations Medals.csv
CYP,0,1,0,1,London 2012 Olympics Nations Medals.csv
BOT,0,1,0,1,London 2012 Olympics Nations Medals.csv
POR,0,1,0,1,London 2012 Olympics Nations Medals.csv
MNE,0,1,0,1,London 2012 Olympics Nations Medals.csv
GAB,0,1,0,1,London 2012 Olympics Nations Medals.csv
UZB,0,0,3,3,London 2012 Olympics Nations Medals.csv
SIN,0,0,2,2,London 2012 Olympics Nations Medals.csv
GRE,0,0,2,2,London 2012 Olympics Nations Medals.csv
VIE,0,0,1,1,London 2012 Olympics Nations Medals.csv
MAR,0,0,1,1,London 2012 Olympics Nations Medals.csv
TJK,0,0,1,1,London 2012 Olympics Nations Medals.csv
KUW,0,0,1,1,London 2012 Olympics Nations Medals.csv
HKG,0,0,1,1,London 2012 Olympics Nations Medals.csv
CMR,0,0,1,1,London 2012 Olympics Nations Medals.csv
KSA,0,0,1,1,London 2012 Olympics Nations Medals.csv
AFG,0,0,1,1,London 2012 Olympics Nations Medals.csv
GER,12,9,8,29,Nagano 1998 Olympics Nations Medals.csv
NOR,10,10,5,25,Nagano 1998 Olympics Nations Medals.csv
RUS,9,6,3,18,Nagano 1998 Olympics Nations Medals.csv
CAN,6,5,4,15,Nagano 1998 Olympics Nations Medals.csv
USA,6,3,4,13,Nagano 1998 Olympics Nations Medals.csv
NED,5,4,2,11,Nagano 1998 Olympics Nations Medals.csv
JPN,5,1,4,10,Nagano 1998 Olympics Nations Medals.csv
AUT,3,5,9,17,Nagano 1998 Olympics Nations Medals.csv
KOR,3,1,2,6,Nagano 1998 Olympics Nations Medals.csv
ITA,2,6,2,10,Nagano 1998 Olympics Nations Medals.csv
FIN,2,4,6,12,Nagano 1998 Olympics Nations Medals.csv
SUI,2,2,3,7,Nagano 1998 Olympics Nations Medals.csv
FRA,2,1,5,8,Nagano 1998 Olympics Nations Medals.csv
CZE,1,1,1,3,Nagano 1998 Olympics Nations Medals.csv
BUL,1,0,0,1,Nagano 1998 Olympics Nations Medals.csv
CHN,0,6,2,8,Nagano 1998 Olympics Nations Medals.csv
SWE,0,2,1,3,Nagano 1998 Olympics Nations Medals.csv
DEN,0,1,0,1,Nagano 1998 Olympics Nations Medals.csv
UKR,0,1,0,1,Nagano 1998 Olympics Nations Medals.csv
KAZ,0,0,2,2,Nagano 1998 Olympics Nations Medals.csv
BLR,0,0,2,2,Nagano 1998 Olympics Nations Medals.csv
GBR,0,0,1,1,Nagano 1998 Olympics Nations Medals.csv
BEL,0,0,1,1,Nagano 1998 Olympics Nations Medals.csv
AUS,0,0,1,1,Nagano 1998 Olympics Nations Medals.csv
USA,40,44,42,126,Paris 2024 Olympics_Nations Medals.csv
CHN,40,27,24,91,Paris 2024 Olympics_Nations Medals.csv
JPN,20,12,13,45,Paris 2024 Olympics_Nations Medals.csv
