NOC,Gold,Silver,Bronze,Total,City
BRN,0,1,0,1,Tokyo
KAZ,0,0,8,8,Tokyo
MEX,0,0,4,4,Tokyo
FIN,0,0,2,2,Tokyo
BUR,0,0,1,1,Tokyo
SYR,0,0,1,1,Tokyo
GRN,0,0,1,1,Tokyo
MDA,0,0,1,1,Tokyo
CIV,0,0,1,1,Tokyo
BOT,0,0,1,1,Tokyo
GHA,0,0,1,1,Tokyo
KUW,0,0,1,1,Tokyo
GER,11,12,6,29,Torino
USA,9,9,7,25,Torino
AUT,9,7,7,23,Torino
RUS,8,6,8,22,Torino
CAN,7,10,7,24,Torino
SWE,7,2,5,14,Torino
KOR,6,3,2,11,Torino
SUI,5,4,5,14,Torino
ITA,5,0,6,11,Torino
FRA,3,2,4,9,Torino
NED,3,2,4,9,Torino
EST,3,0,0,3,Torino
NOR,2,8,9,19,Torino
CHN,2,4,5,11,Torino
CZE,1,2,1,4,Torino
CRO,1,2,0,3,Torino
AUS,1,0,1,2,Torino
JPN,1,0,0,1,Torino
FIN,0,6,3,9,Torino
POL,0,1,1,2,Torino
BLR,0,1,0,1,Torino
GBR,0,1,0,1,Torino
BUL,0,1,0,1,Torino
SVK,0,1,0,1,Torino
UKR,0,0,2,2,Torino
LAT,0,0,1,1,Torino
CAN,14,7,5,26,Vancouver
GER,10,13,7,30,Vancouver
USA,9,15,13,37,Vancouver
NOR,9,8,6,23,Vancouver
KOR,6,6,2,14,Vancouver
SUI,6,0,3,9,Vancouver
CHN,5,2,4,11,Vancouver
SWE,5,2,4,11,Vancouver
AUT,4,6,6,16,Vancouver
NED,4,1,3,8,Vancouver
RUS,3,5,7,15,Vancouver
FRA,2,3,6,11,Vancouver
AUS,2,1,0,3,Vancouver
CZE,2,0,4,6,Vancouver
POL,1,3,2,6,Vancouver
ITA,1,1,3,5,Vancouver
BLR,1,1,1,3,Vancouver
SVK,1,1,1,3,Vancouver
GBR,1,0,0,1,Vancouver
JPN,0,3,2,5,Vancouver
SLO,0,2,1,3,Vancouver
CRO,0,2,1,3,Vancouver
LAT,0,2,0,2,Vancouver
FIN,0,1,4,5,Vancouver
KAZ,0,1,0,1,Vancouver
EST,0,1,0,1,Vancouver
